Sample_ID,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
On_Acc160,0.115239995,0,0.056258406,0.031809322,0.028945668,0,0.144364424,0,0.042923232,0,0,0.072614637,0.258198364,0.152697265,0.008444097,0.078203617,0,0,0,0.010300972,0,0
On_Acc162,0.002879903,0,0.061902921,0.140520027,0,0.120651965,0,0.000723649,0.113907939,0,0,0.198796506,0.014884642,0.058712186,0.053852523,0.173193059,0,0,0.058568501,0,0,0.001406178
On_Acc166,0.022025942,0,0.032645914,0.224968117,0,0.029248645,0.039053892,0.16352748,0,0.00225293,0,0.062118286,0.001254084,0.080849504,0.156149572,0.133881642,0,0.007060245,0.044963747,0,0,0
Pre_Acc160,0.230720187,0,0.079089927,0.040174277,0,0.107847189,0.113728936,0.23317906,0.000749881,0,0,0.049570217,0.031699073,0.016871613,0.000172083,0.013921108,0,0.002689471,0,0.071908991,0,0.007677988
Pre_Acc162,0,0.04795867,0.21771322,0,0,0.099786188,0,0,0.025245594,0,0.029709223,0.008448296,0.022227738,0.435839563,0.032775519,0.015255542,0,0,0.045647632,0,0,0.019392814
Pre_Acc163,0,0.031706533,0.071905113,0.421619696,0,0,0.021371468,0.033784103,0.010028458,0.150485297,0,0.044371896,6.26473951647227e-05,0,0.02333584,0.171454599,0,0.011909958,0.007964392,0,0,0
Pre_Acc166,0,0.006355604,0,0.178931899,0.129619279,0,0.033985709,0.000321692,0.010880045,0.382556236,0,0,0.020337687,0.042335721,0.06837996,0.06059725,0.022106935,0,0,0.043591983,0,0
On_Acc119,0,0,0.05303154,0.145510724,0,0.028433265,0,0.096621608,0.049504897,0,0,0.046775979,0.117511586,0.09148421,0.242504584,0.098906202,0,0,0.029715405,0,0,0
On_Acc121,0.001863355,0,0.100626863,0.170073693,0,0,0.01354472,0.091863423,0.072209309,0,0,0.122546523,0.037482337,0.104685607,0.159006392,0.088058905,0,0,0.038038873,0,0,0
On_Acc124,0.062037539,0.046149839,0.146950076,0.162470393,0.11048996,0,0.073140065,0,0.056722205,0,0,0.090966009,0,0.041108078,0.109512756,0.033732532,0,0,0.066720548,0,0,0
On_Acc137,0,0,0.078303078,0.308375498,0,0,0.047620074,0.123437749,0.074031205,0,0,0.157501726,0.00207826,0.047891648,0.102242493,0.02525001,0,0,0.024284029,0,0,0.008984228
On_Acc139,0.083230663,0,0.041385874,0.01543216,0,0.166194914,0,0.081094081,0,0,0,0.094189534,0,0.152432851,0.132988665,0.165269653,0,0,0.039148838,0,0,0.028632766
On_Acc149,0.066659708,0,0.011596325,0.094495254,0,0.048267586,0,0.041233696,0.017184531,0,0,0.073461686,0.040085322,0.323924343,0.061283555,0.194198368,0,0,0.017962436,0,0,0.009647189
On_Acc150,0.015997425,0,0.054559874,0.409352584,0,0,0.115157505,0.050797747,0.007963442,0.023396582,0.036418849,0.064529001,0,0.008714964,0.098388482,0.109075014,0,0,0.00564853,0,0,0
On_Acc19,0.132671188,0.072838396,0.078343771,0.303212504,0.017879952,0,0.04309451,0.101380661,0.094446496,0,0,0.017332569,0.020090867,0.042578745,0.053650896,0,0,0.005884161,0.016595284,0,0,0
On_Acc31,0,0.029016013,0.066945272,0.269187969,0,0,0.11493353,0.050496948,0.020271311,0,0,0.164114052,0.012029612,0.022067632,0.107026558,0.078981936,0.020247921,0,0.040687041,0,0,0.003994206
On_Acc36,0,0.027082042,0.040888142,0.034451209,0,0.094232483,0,0.064510984,0.200239553,0,0,0.032197609,0.123654605,0.061661072,0.294043665,0.005990109,0,0,0.021048526,0,0,0
On_Acc38,0,0.008982566,0.367881112,0.235174553,0,0,0.030569565,0.070329931,0.042343097,0,0,0.091945682,0.009649793,0.031713797,0.02848678,0.012757181,0,0.032926342,0.037239603,0,0,0
Pre_Acc115,0.197782736,0.022311864,0.044989649,0.187834602,0.174442578,0,0.022519325,0.061965808,0.10956048,0,0,0.029593054,0,0.091471114,0.045464669,0.006972767,0,0,0,0,0,0.005091354
Pre_Acc119,0,0,0.027391743,0.105478556,0,0.138323106,0.000991561,0.014259327,0.042562301,0,0,0.036788853,0.109097447,0.309909929,0.073835526,0.127822321,0,0,0.013539331,0,0,0
Pre_Acc121,0.035699187,0,0.225682127,0.063012304,0,0.071513307,0,0.129506669,0,0,0,0.103045188,0.000815994,0.040901752,0.182646729,0.077004976,0,0,0.048600791,0,0,0.021570975
Pre_Acc122,0,0.004876267,0.368026407,0.187686717,0,0,0,0,0.007606801,0,0.05883829,0.056741017,0.170091919,0,0.080370254,0.050216757,0,0.000646934,0.014394534,0,0,0.000504104
Pre_Acc124,0,0.037780661,0.214041924,0.091335156,0,0.126530086,0,0.056266067,0,0,0.069385807,0.100273416,0.017694858,0.04636447,0.084543536,0.0547002,0,0,0.06205586,0,0.029800134,0.009227825
Pre_Acc125,0.136326737,0.015215503,0.022564995,0.215768684,0.069576609,0,0.13789666,0.065859979,0.048832232,0,0,0.072923651,0.004998511,0.063946234,0.101329729,0.024563576,0,0,0.020196901,0,0,0
