gene_name	On_Acc160	On_Acc162	On_Acc166	Pre_Acc160	Pre_Acc162	Pre_Acc163	Pre_Acc166	On_Acc119	On_Acc121	On_Acc124	On_Acc137	On_Acc139	On_Acc149	On_Acc150	On_Acc19	On_Acc31	On_Acc36	On_Acc38	Pre_Acc115	Pre_Acc119	Pre_Acc121	Pre_Acc122	Pre_Acc124	Pre_Acc125	Pre_Acc126	Pre_Acc128	Pre_Acc129	Pre_Acc130	Pre_Acc135	Pre_Acc137	Pre_Acc139	Pre_Acc141	Pre_Acc143	Pre_Acc149	Pre_Acc150	Pre_Acc151	Pre_Acc19	Pre_Acc29	Pre_Acc31	Pre_Acc36	Pre_Acc38	Pre_Acc44	Pre_Acc69
A1BG	0	11	6	20	0	2	0	1806	24	23	3	33	29	11	24	23	9	23	11	80	3	1	1	12	5	222	16	12	43	4	126	10	58	26	10	442	80	15	6375	8	3	32	32
A1CF	0	14	0	2	0	1	17	2206	1	7	2	0	0	19	0	8	9	0	0	20	1	3	1	1	0	0	11	0	4	3	0	0	1	0	56	307	2	12	5984	1	2	22	1
A2M	372	1609	4813	902	124	11948	3693	4978	1445	1592	1000	5546	5694	2778	8079	2404	1267	3163	1462	1727	3287	79	272	1883	357	5099	2605	983	2063	2141	31444	2650	2901	5803	8820	1341	27290	12055	7141	2860	13869	1739	6872
A2ML1	0	4	16	0	0	1	0	4	21	6	11	2	5	2	7	0	6	1	6	69	9	0	4	6	4	1	2	0	1	0	1	1	1	2	4	6	0	1	0	2	0	1069	1
A3GALT2	0	2	4	0	0	0	0	3	2	6	0	0	5	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
A4GALT	0	932	3192	24	9	366	44	586	1029	915	1996	3301	7145	4869	897	2474	1796	2712	474	483	1253	1134	139	929	935	481	1002	127	1514	4399	882	1020	825	10502	5795	708	1	517	7	3248	1980	327	1448
A4GNT	0	6	2	0	0	0	0	97	2	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	3	0	0	3	1
AAAS	25	1493	1794	221	2	139	333	1152	1899	1489	2024	2251	1416	2176	1304	1040	1231	768	1042	943	930	1259	429	718	460	656	975	673	1368	1949	1266	872	1523	1803	2245	284	1625	1581	422	892	74	1911	927
AACS	120	845	1265	105	1	300	3	329	369	408	234	1465	874	1727	267	589	382	493	318	247	358	538	124	159	167	256	558	218	450	474	396	340	451	1358	2051	311	509	120	38	267	3	1319	164
AADAC	0	2	0	0	0	8	0	1033	0	12	2	1	0	0	6	2	0	0	7	1	0	0	0	0	0	1	34	148	0	6	0	0	0	0	3	292	1055	0	4001	0	142	2	0
